CustomerID,Recency,Monetary,Cluster
C5997044,30,548.0,2
C2827929,29,983.0,2
C3437043,29,418.0,2
C5517052,27,592.0,2
C7110485,30,658.0,2
C8252769,30,1000.0,2
C3023473,27,700.0,2
C7638648,27,1322.0,2
C1623816,26,1099.0,2
C3180144,26,700.0,2
C3472660,26,566.0,2
C1636852,26,500.0,2
C7321552,26,860.0,2
C2628325,26,577.86,2
C2593941,26,1216.0,2
C6751573,26,485.0,2
C2040486,26,1362.0,2
C2940912,29,1000.0,2
C7413452,29,914.0,2
C8922223,29,758.0,2
C3026330,29,903.0,2
C7721517,29,897.0,2
C6415621,26,909.0,2
C4338623,26,800.0,2
C5814566,25,606.9,2
C3610216,26,571.2,2
C1842557,25,580.0,2
C9019788,25,1470.0,2
C8733258,25,1000.0,2
C2213567,26,500.0,2
C3332723,26,912.0,2
C3815456,26,620.0,2
C8324040,27,1156.0,2
C5016632,26,802.0,2
C3214218,25,637.0,2
C2956159,27,1190.0,2
C5940566,26,2310.0,2
C7613248,27,545.0,2
C1878874,27,804.0,2
C1915214,26,2500.0,2
C6316525,26,496.0,2
C5637549,27,1500.0,2
C1740233,27,1156.0,2
C7127879,27,1574.0,2
C2532061,27,639.21,2
C8293115,27,1500.0,2
C2532143,22,1600.0,2
C3473164,22,506.0,2
C3330080,25,650.0,2
C8734911,22,810.0,2
C7122163,22,1500.0,2
C2421041,25,873.0,2
C1425891,30,368.0,2
C8241422,25,855.0,2
C3911615,25,420.0,2
C6425013,25,714.51,2
C8031843,22,552.0,2
C1836687,25,609.0,2
C3237838,30,1794.0,2
C8814022,25,556.0,2
C3832664,30,697.0,2
C4334758,30,1500.0,2
C2615544,30,401.0,2
C3128327,30,500.0,2
C2516530,27,2759.0,2
C7123641,30,791.0,2
C3126022,26,1010.0,2
C5034252,25,1930.0,2
C4429887,25,700.0,2
C3942988,27,1592.0,2
C6941659,26,993.0,2
C2411263,26,1000.0,2
C4532464,26,406.64,2
C2329035,26,1945.38,2
C5018285,26,1499.0,2
C7631436,29,1848.0,2
C6411245,29,606.9,2
C2950724,25,1194.0,2
C7222475,29,761.0,2
C2755937,29,480.0,2
C8732734,29,780.0,2
C4093428,29,500.0,2
C3029327,29,492.0,2
C3565959,29,742.0,2
C6517878,30,800.0,2
C8532458,25,1000.0,2
C6039077,25,999.0,2
C1010266,26,449.0,2
C3321674,25,408.0,2
C3813354,25,895.0,2
C8135935,30,2000.0,2
C1620715,26,550.0,2
C4814948,26,445.0,2
C5633585,26,1850.0,2
C5919186,25,1196.0,2
C3425020,27,1000.0,2
C4616025,27,742.08,2
C3227477,27,850.0,2
C5625726,27,1000.0,2
C2922966,27,890.0,2
C6517819,27,913.0,2
C4133475,25,1115.0,2
C6317554,25,2000.0,2
C6333123,30,400.0,2
C8137222,25,500.0,2
C3842212,30,2180.0,2
C5035858,25,763.0,2
C3916616,30,944.0,2
C4310652,25,378.0,2
C7273666,30,1050.0,2
C2960153,26,508.0,2
C1791049,26,454.0,2
C2674890,22,1160.0,2
C3813431,30,1031.0,2
C5626648,30,1490.0,2
C8277045,30,1000.0,2
C6083531,30,600.0,2
C3328226,30,936.0,2
C4544461,30,1200.0,2
C2638838,26,433.9,2
C7915444,27,1113.01,2
C9056765,27,999.0,2
C5124967,25,450.0,2
C4737469,30,735.0,2
C3732913,27,497.0,2
C5242814,27,1000.0,2
C4720643,30,604.0,2
C4829216,26,500.0,2
C8130487,26,1690.0,2
C2216278,26,700.0,2
C5611012,26,976.0,2
C6717365,26,700.0,2
C8820650,26,819.38,2
C5835722,26,426.63,2
C5835729,26,451.0,2
C3726390,26,470.0,2
C2615183,26,2000.0,2
C7284341,26,652.0,2
C1622132,26,400.0,2
C8632118,26,500.0,2
C2234964,26,860.0,2
C3442591,29,461.97,2
C3638782,29,2000.0,2
C2710859,29,550.0,2
C8997032,29,600.0,2
C1737087,29,825.0,2
C8337544,26,578.34,2
C2028934,26,600.0,2
C8724644,26,2403.0,2
C2631189,27,1635.0,2
C4311322,26,357.05,2
C3921188,27,2000.0,2
C4138828,27,1268.0,2
C8045163,27,600.0,2
C6250723,27,931.0,2
C7231881,27,567.0,2
C8818926,25,1670.0,2
C4391583,25,481.92,2
C8137373,26,397.0,2
C7223273,26,941.0,2
C2947663,22,1000.0,2
C2219840,25,1397.0,2
C7622934,25,1067.08,2
C5119111,30,2558.0,2
C5318822,30,395.0,2
C5811441,25,1512.75,2
C2516880,25,1330.0,2
C7723817,30,805.0,2
C4835213,29,752.0,2
C8087745,29,396.0,2
C3119319,27,690.0,2
C2323644,27,1400.0,2
C6011814,27,1495.0,2
C5779617,26,802.0,2
C7311348,27,619.0,2
C2111681,27,697.0,2
C2026922,27,2644.0,2
C6736147,30,2077.0,2
C2032460,30,650.0,2
C6594166,25,370.0,2
C3338144,26,695.0,2
C6222452,26,1100.0,2
C4515236,26,1202.0,2
C4887354,26,385.0,2
C2916546,29,2760.0,2
C7338420,29,478.0,2
C8383325,29,1508.67,2
C6838528,26,1499.0,2
C4823769,30,2038.0,2
C7618847,26,370.0,2
C6073270,26,1394.4,2
C6331653,27,608.0,2
C2821913,25,780.0,2
C8021324,26,500.0,2
C7016763,27,577.72,2
C4917619,27,481.1,2
C5040518,26,1314.0,2
C5534866,27,580.0,2
C5534190,27,703.0,2
C3141578,27,834.14,2
C5582989,27,2005.0,2
C2714452,22,1600.0,2
C4737552,26,1000.0,2
C7324286,22,763.33,2
C8919681,25,2000.0,2
C2236482,30,1601.0,2
C2115612,30,375.0,2
C8511228,25,1147.2,2
C2285486,25,530.0,2
C8915775,30,1235.0,2
C2029159,30,1465.0,2
C4891058,30,384.0,2
C8739245,30,634.39,2
C8782345,25,585.0,2
C7211965,30,1080.2,2
C9038648,30,961.18,2
C5273651,27,1877.0,2
C3717448,27,2299.0,2
C2615546,27,499.0,2
C3524632,27,535.0,2
C3024284,25,701.0,2
C2886489,30,1057.29,2
C4727812,26,606.0,2
C2596589,26,2200.0,2
C1736025,26,1262.48,2
C6540154,26,1000.0,2
C3322681,26,2500.0,2
C1440211,26,765.0,2
C8838471,26,366.0,2
C3538361,26,1000.0,2
C2113484,26,1287.97,2
C6019763,26,435.0,2
C4526066,26,500.0,2
C8220868,29,1000.0,2
C6119132,29,432.0,2
C3921272,30,1478.0,2
C8437047,30,490.0,2
C8316260,26,2000.0,2
C6724170,26,359.52,2
